iter	Passed	Remaining
0	1	164
1	3	150
2	4	144
3	5	133
4	6	131
5	8	130
6	9	127
7	10	126
8	12	127
9	14	126
10	15	126
11	17	125
12	18	123
13	19	122
14	21	121
15	22	119
16	24	118
17	25	117
18	27	115
19	28	114
20	29	112
21	31	110
22	32	108
23	33	107
24	35	106
25	37	105
26	38	103
27	39	102
28	41	101
29	42	99
30	43	97
31	45	96
32	46	94
33	47	93
34	49	91
35	50	90
36	52	88
37	53	87
38	54	85
39	56	84
40	57	82
41	57	80
42	59	78
43	60	76
44	61	75
45	62	73
46	64	72
47	65	71
48	67	69
49	68	68
50	69	67
51	71	65
52	72	64
53	73	62
54	74	61
55	75	59
56	77	58
57	78	56
58	79	55
59	81	54
60	82	52
61	84	52
62	86	50
63	87	49
64	89	48
65	90	46
66	91	45
67	93	43
68	94	42
69	95	41
70	97	39
71	98	38
72	100	37
73	101	35
74	102	34
75	104	32
76	105	31
77	106	30
78	108	28
79	109	27
80	110	26
81	112	24
82	113	23
83	114	21
84	116	20
85	117	19
86	118	17
87	120	16
88	121	15
89	122	13
90	124	12
91	126	10
92	127	9
93	128	8
94	130	6
95	131	5
96	132	4
97	134	2
98	135	1
99	136	0
